epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2745,1.92038,3.39013,2.46154,0.00335,0.97059,0.14061,0.05823,2.07982,4.34836,3.70298,0.00011669,0.00011669,0.00011669
2,160.218,1.66775,2.99065,2.09815,0.00314,0.94118,0.20162,0.07768,1.71296,3.91651,2.53269,0.000245099,0.000245099,0.000245099
3,256.135,1.64638,2.7811,1.98277,0.00324,0.97059,0.27159,0.084,1.97089,4.12568,2.81401,0.000368227,0.000368227,0.000368227
4,372.359,1.58511,2.60444,1.94684,0.00316,0.94118,0.21763,0.07436,2.17988,4.05692,3.00381,0.000486074,0.000486074,0.000486074
5,483.077,1.59584,2.60474,1.98392,0.00291,0.85294,0.29867,0.08992,2.81935,4.52718,3.39988,0.00059864,0.00059864,0.00059864
6,596.856,1.55389,2.61109,1.92733,0.66567,0.08824,0.10022,0.02451,4.25489,6.28851,4.60616,0.000705924,0.000705924,0.000705924
7,706.244,1.49554,2.30759,1.81859,0.18106,0.05882,0.09688,0.04391,3.25708,5.94442,3.85361,0.000807928,0.000807928,0.000807928
8,817.807,1.61539,2.39297,1.94146,0.24277,0.32353,0.21597,0.05926,2.13922,3.83872,3.27692,0.000904651,0.000904651,0.000904651
9,912.43,1.57851,2.3577,1.84412,0.264,0.32353,0.21649,0.06555,1.99605,3.75379,3.17609,0.000996093,0.000996093,0.000996093
10,1002.98,1.59216,2.24089,1.87556,0.33369,0.36769,0.3414,0.11464,1.81309,3.61686,2.8659,0.00108225,0.00108225,0.00108225
11,1095.17,1.52716,2.17692,1.82851,0.34425,0.38235,0.35614,0.13513,1.91759,3.5016,2.89533,0.00116313,0.00116313,0.00116313
12,1198.35,1.5978,2.22245,1.87011,0.60507,0.32353,0.39967,0.15469,1.97835,3.91528,2.6129,0.00123873,0.00123873,0.00123873
13,1306.57,1.53755,2.11763,1.79369,0.16889,0.41176,0.10967,0.03618,2.6207,6.62883,3.17149,0.00127092,0.00127092,0.00127092
14,1440.99,1.62733,2.30941,1.90485,0.19408,0.26471,0.06236,0.0265,2.23468,6.82893,3.31152,0.00123791,0.00123791,0.00123791
15,1534.66,1.66008,2.15285,1.86693,0.0533,0.35294,0.03475,0.01196,1.83752,6.65003,2.75941,0.00120491,0.00120491,0.00120491
16,1634.51,1.48762,2.04098,1.78254,0.09859,0.17647,0.06109,0.02325,1.88234,8.86011,2.69771,0.0011719,0.0011719,0.0011719
17,1737.44,1.55374,1.99982,1.8232,0.34985,0.38235,0.34519,0.13808,2.4446,5.16597,2.82089,0.00113889,0.00113889,0.00113889
18,1841.9,1.53269,1.89234,1.77822,0.32943,0.70588,0.50618,0.19048,1.64511,2.94264,2.55492,0.00110589,0.00110589,0.00110589
19,1941.03,1.54494,2.00706,1.85824,0.35205,0.66809,0.5466,0.17925,1.58085,2.95238,2.57112,0.00107288,0.00107288,0.00107288
20,2033.36,1.56155,1.98539,1.84935,0.82216,0.29412,0.4154,0.17139,1.58396,3.15695,2.39968,0.00103987,0.00103987,0.00103987
21,2122.19,1.53826,1.86658,1.77867,0.2076,0.5,0.37559,0.10935,1.71779,3.01531,2.57828,0.00100687,0.00100687,0.00100687
22,2210.93,1.54989,1.90466,1.82565,0.74979,0.46838,0.52588,0.22226,1.72896,2.43296,2.59846,0.000973861,0.000973861,0.000973861
23,2299.71,1.47991,1.84104,1.72307,0.73911,0.44118,0.53726,0.24525,1.91695,2.52314,2.71474,0.000940855,0.000940855,0.000940855
24,2386.98,1.49453,1.84545,1.78038,0.54308,0.61765,0.59387,0.27678,1.63337,2.4286,2.34549,0.000907848,0.000907848,0.000907848
25,2472.58,1.41835,1.71697,1.69659,0.46428,0.70588,0.56722,0.24123,1.50965,2.47624,2.26035,0.000874842,0.000874842,0.000874842
26,2557.72,1.47451,1.74273,1.78769,0.4005,0.70588,0.52753,0.20717,1.43217,3.07631,2.22481,0.000841835,0.000841835,0.000841835
27,2644.48,1.43388,1.6852,1.67094,0.68393,0.57646,0.57806,0.22749,1.43215,2.44823,2.13403,0.000808828,0.000808828,0.000808828
28,2733.2,1.47151,1.72736,1.71483,0.81841,0.55214,0.58828,0.24364,1.51084,2.72616,2.23321,0.000775822,0.000775822,0.000775822
